Symbol,Name,sectorKey,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,"710,316,675.42",1.05,"710,316,675.42","5,190,097.00",136.86,United States,New York Stock Exchange Inc.,USD,1,--
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,"582,784,959.20",0.86,"582,784,959.20","3,581,080.00",162.74,United States,NASDAQ,USD,1,--
FN,FABRINET,Information Technology,Equity,"403,118,686.36",0.59,"403,118,686.36","873,989.00",461.24,United States,New York Stock Exchange Inc.,USD,1,--
IONQ,IONQ INC,Information Technology,Equity,"384,018,846.47",0.57,"384,018,846.47","6,686,729.00",57.43,United States,New York Stock Exchange Inc.,USD,1,--
NXT,NEXTRACKER INC CLASS A,Industrials,Equity,"375,948,017.62",0.55,"375,948,017.62","3,528,703.00",106.54,United States,NASDAQ,USD,1,--
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,"291,983,332.42",0.43,"291,983,332.42","4,032,362.00",72.41,United States,NASDAQ,USD,1,--
STRL,STERLING INFRASTRUCTURE INC,Industrials,Equity,"280,633,956.24",0.41,"280,633,956.24","722,018.00",388.68,United States,NASDAQ,USD,1,--
OKLO,OKLO INC CLASS A,Utilities,Equity,"280,611,483.25",0.41,"280,611,483.25","2,628,679.00",106.75,United States,New York Stock Exchange Inc.,USD,1,--
RMBS,RAMBUS INC,Information Technology,Equity,"278,196,073.35",0.41,"278,196,073.35","2,612,415.00",106.49,United States,NASDAQ,USD,1,--
GH,GUARDANT HEALTH INC,Health Care,Equity,"277,834,480.00",0.41,"277,834,480.00","2,886,592.00",96.25,United States,NASDAQ,USD,1,--
RGTI,RIGETTI COMPUTING INC,Information Technology,Equity,"265,371,488.48",0.39,"265,371,488.48","7,723,268.00",34.36,United States,NASDAQ,USD,1,--
SPXC,SPX TECHNOLOGIES INC,Industrials,Equity,"253,872,576.79",0.37,"253,872,576.79","1,166,533.00",217.63,United States,New York Stock Exchange Inc.,USD,1,--
AVAV,AEROVIRONMENT INC,Industrials,Equity,"253,272,114.90",0.37,"253,272,114.90","771,630.00",328.23,United States,NASDAQ,USD,1,--
LUMN,LUMEN TECHNOLOGIES INC,Communication,Equity,"252,299,614.68",0.37,"252,299,614.68","23,062,122.00",10.94,United States,New York Stock Exchange Inc.,USD,1,--
ENSG,ENSIGN GROUP INC,Health Care,Equity,"248,480,674.26",0.37,"248,480,674.26","1,358,486.00",182.91,United States,NASDAQ,USD,1,--
IDCC,INTERDIGITAL INC,Information Technology,Equity,"238,750,405.40",0.35,"238,750,405.40","627,020.00",380.77,United States,NASDAQ,USD,1,--
BBIO,BRIDGEBIO PHARMA INC,Health Care,Equity,"236,966,903.37",0.35,"236,966,903.37","3,777,569.00",62.73,United States,NASDAQ,USD,1,--
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,"231,672,230.10",0.34,"231,672,230.10","3,279,154.00",70.65,United States,NASDAQ,USD,1,--
CDE,COEUR MINING INC,Materials,Equity,"223,576,093.96",0.33,"223,576,093.96","15,483,109.00",14.44,United States,New York Stock Exchange Inc.,USD,1,--
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Equity,"219,526,322.70",0.32,"219,526,322.70","449,315.00",488.58,United States,NASDAQ,USD,1,--
SANM,SANMINA CORP,Information Technology,Equity,"218,502,718.59",0.32,"218,502,718.59","1,266,609.00",172.51,United States,NASDAQ,USD,1,--
GTLS,CHART INDUSTRIES INC,Industrials,Equity,"218,125,080.80",0.32,"218,125,080.80","1,094,456.00",199.3,United States,New York Stock Exchange Inc.,USD,1,--
QBTS,D WAVE QUANTUM INC,Information Technology,Equity,"212,051,212.58",0.31,"212,051,212.58","7,469,222.00",28.39,United States,New York Stock Exchange Inc.,USD,1,--
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,"199,867,217.60",0.29,"199,867,217.60","911,803.00",219.2,United States,NASDAQ,USD,1,--
HL,HECLA MINING,Materials,Equity,"196,546,936.95",0.29,"196,546,936.95","14,505,309.00",13.55,United States,New York Stock Exchange Inc.,USD,1,--
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"194,154,562.63",0.29,"194,154,562.63","194,154,563.00",1,United States,--,USD,1,--
DY,DYCOM INDUSTRIES INC,Industrials,Equity,"192,002,809.24",0.28,"192,002,809.24","678,647.00",282.92,United States,New York Stock Exchange Inc.,USD,1,--
HQY,HEALTHEQUITY INC,Health Care,Equity,"191,488,624.60",0.28,"191,488,624.60","2,064,790.00",92.74,United States,NASDAQ,USD,1,--
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,Equity,"191,331,841.20",0.28,"191,331,841.20","4,608,185.00",41.52,United States,New York Stock Exchange Inc.,USD,1,--
UMBF,UMB FINANCIAL CORP,Financials,Equity,"188,968,929.50",0.28,"188,968,929.50","1,765,075.00",107.06,United States,NASDAQ,USD,1,--
MOD,MODINE MANUFACTURING,Consumer Discretionary,Equity,"188,859,459.32",0.28,"188,859,459.32","1,266,748.00",149.09,United States,New York Stock Exchange Inc.,USD,1,--
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,"185,936,069.20",0.27,"185,936,069.20","3,880,135.00",47.92,United States,New York Stock Exchange Inc.,USD,1,--
CTRE,CARETRUST REIT INC,Real Estate,Equity,"183,921,867.36",0.27,"183,921,867.36","5,172,156.00",35.56,United States,New York Stock Exchange Inc.,USD,1,--
JBTM,JBT MAREL CORP,Industrials,Equity,"177,375,964.04",0.26,"177,375,964.04","1,262,732.00",140.47,United States,New York Stock Exchange Inc.,USD,1,--
FLR,FLUOR CORP,Industrials,Equity,"176,945,687.76",0.26,"176,945,687.76","3,969,172.00",44.58,United States,New York Stock Exchange Inc.,USD,1,--
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,"175,234,658.55",0.26,"175,234,658.55","664,901.00",263.55,United States,New York Stock Exchange Inc.,USD,1,--
SITM,SITIME CORP,Information Technology,Equity,"175,174,093.86",0.26,"175,174,093.86","515,506.00",339.81,United States,NASDAQ,USD,1,--
ONB,OLD NATIONAL BANCORP,Financials,Equity,"175,043,702.46",0.26,"175,043,702.46","8,501,394.00",20.59,United States,NASDAQ,USD,1,--
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Equity,"173,221,546.08",0.26,"173,221,546.08","3,636,816.00",47.63,United States,New York Stock Exchange Inc.,USD,1,--
RNA,AVIDITY BIOSCIENCES INC,Health Care,Equity,"171,823,690.14",0.25,"171,823,690.14","2,462,363.00",69.78,United States,NASDAQ,USD,1,--
CYTK,CYTOKINETICS INC,Health Care,Equity,"170,073,135.00",0.25,"170,073,135.00","2,820,450.00",60.3,United States,NASDAQ,USD,1,--
ORA,ORMAT TECH INC,Utilities,Equity,"169,666,251.75",0.25,"169,666,251.75","1,478,573.00",114.75,United States,New York Stock Exchange Inc.,USD,1,--
TTMI,TTM TECHNOLOGIES INC,Information Technology,Equity,"166,078,470.46",0.24,"166,078,470.46","2,438,386.00",68.11,United States,NASDAQ,USD,1,--
PRIM,PRIMORIS SERVICES CORP,Industrials,Equity,"166,012,075.02",0.24,"166,012,075.02","1,311,519.00",126.58,United States,New York Stock Exchange Inc.,USD,1,--
FSS,FEDERAL SIGNAL CORP,Industrials,Equity,"161,199,144.05",0.24,"161,199,144.05","1,452,899.00",110.95,United States,New York Stock Exchange Inc.,USD,1,--
APLD,APPLIED DIGITAL CORP,Information Technology,Equity,"161,072,348.64",0.24,"161,072,348.64","5,182,508.00",31.08,United States,NASDAQ,USD,1,--
JOBY,JOBY AVIATION INC CLASS A,Industrials,Equity,"159,717,475.60",0.24,"159,717,475.60","11,153,455.00",14.32,United States,New York Stock Exchange Inc.,USD,1,--
CMC,COMMERCIAL METALS,Materials,Equity,"157,983,378.08",0.23,"157,983,378.08","2,750,407.00",57.44,United States,New York Stock Exchange Inc.,USD,1,--
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,Equity,"156,722,803.40",0.23,"156,722,803.40","5,688,668.00",27.55,United States,New York Stock Exchange Inc.,USD,1,--
FCFS,FIRSTCASH HOLDINGS INC,Financials,Equity,"155,620,929.87",0.23,"155,620,929.87","961,157.00",161.91,United States,NASDAQ,USD,1,--
JXN,JACKSON FINANCIAL INC CLASS A,Financials,Equity,"153,102,923.82",0.23,"153,102,923.82","1,661,814.00",92.13,United States,New York Stock Exchange Inc.,USD,1,--
CADE,CADENCE BANK,Financials,Equity,"147,704,877.06",0.22,"147,704,877.06","3,931,458.00",37.57,United States,New York Stock Exchange Inc.,USD,1,--
SMTC,SEMTECH CORP,Information Technology,Equity,"147,294,223.35",0.22,"147,294,223.35","2,107,515.00",69.89,United States,NASDAQ,USD,1,--
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,"146,339,701.50",0.22,"146,339,701.50","2,481,175.00",58.98,United States,New York Stock Exchange Inc.,USD,1,--
RIOT,RIOT PLATFORMS INC,Information Technology,Equity,"146,327,838.30",0.22,"146,327,838.30","8,438,745.00",17.34,United States,NASDAQ,USD,1,--
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Equity,"144,140,478.80",0.21,"144,140,478.80","4,830,445.00",29.84,United States,New York Stock Exchange Inc.,USD,1,--
